number,parameter_01,parameter_02(x_coordinate),parameter_03(y_coordinate),parameter_04,parameter_05,parameter_06,parameter_07,parameter_08,parameter_09,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,parameter_15,parameter_16,class(OK/NG)
7866.0,D,9740.0,15830.0,3684.0,1576.0,15.77,0.0,0.0,3.6311,52.0,178.0,176.15,48.51,0.0378,0.0,0.398,OK
7867.0,L,3922.0,15830.0,968.0,0.0,0.0,436.0,11.05,1.2632,50.0,40.0,48.0,38.0,0.0,0.0297,0.484,OK
7868.0,L,3264.0,15816.0,1524.0,0.0,0.0,684.0,11.7,1.12,52.0,58.0,56.0,50.0,0.0,0.0318,0.5053,OK
7869.0,D,11396.0,15806.0,1424.0,760.0,13.73,0.0,0.0,1.8304,34.0,60.0,57.98,31.68,0.0365,0.0,0.698,OK
7870.0,L,4174.0,15800.0,988.0,40.0,19.69,484.0,13.94,1.5548,66.0,44.0,63.43,40.8,0.0576,0.0371,0.3402,OK
7871.0,L,10344.0,15798.0,1028.0,0.0,0.0,672.0,12.43,2.0582,36.0,62.0,59.93,29.12,0.0,0.0291,0.4606,OK
7872.0,L,5792.0,15786.0,1656.0,0.0,0.0,748.0,14.93,1.1739,48.0,56.0,54.0,46.0,0.0,0.0493,0.6161,OK
7873.0,L,8996.0,15776.0,1296.0,0.0,0.0,588.0,12.71,1.1715,66.0,54.0,59.18,50.52,0.0,0.0296,0.3636,OK
7874.0,L,2296.0,15758.0,2944.0,0.0,0.0,1256.0,13.79,1.5478,64.0,96.0,94.4,60.99,0.0,0.0342,0.4792,OK
7875.0,L,4338.0,15746.0,1424.0,0.0,0.0,800.0,13.39,1.3929,80.0,58.0,78.0,56.0,0.0,0.0387,0.3069,OK
7876.0,L,2982.0,15746.0,1224.0,0.0,0.0,568.0,13.15,1.3889,38.0,52.0,50.0,36.0,0.0,0.0347,0.6194,OK
7877.0,L,4240.0,15734.0,980.0,0.0,0.0,376.0,13.4,1.5,30.0,44.0,42.0,28.0,0.0,0.0361,0.7424,OK
7878.0,L,834.0,15726.0,1148.0,0.0,0.0,600.0,9.59,2.2143,64.0,30.0,62.0,28.0,0.0,0.024,0.5979,OK
7879.0,L,14390.0,15692.0,2736.0,0.0,0.0,1484.0,13.52,5.3082,34.0,162.0,160.04,30.15,0.0,0.0323,0.4967,OK
7880.0,L,14558.0,15690.0,3296.0,0.0,0.0,1576.0,11.8,6.3333,38.0,230.0,228.0,36.0,0.0,0.0266,0.3771,OK
7881.0,D,7170.0,15684.0,972.0,524.0,14.53,0.0,0.0,1.4126,50.0,34.0,43.62,30.88,0.0479,0.0,0.5718,OK
7882.0,D,11390.0,15642.0,3572.0,1748.0,14.43,0.0,0.0,3.4897,46.0,144.0,141.72,40.61,0.0385,0.0,0.5393,OK
7883.0,D,4000.0,15628.0,1588.0,792.0,14.42,0.0,0.0,1.3102,46.0,58.0,55.97,42.72,0.0423,0.0,0.5952,OK
7884.0,L,10332.0,15626.0,1180.0,0.0,0.0,508.0,13.51,3.0765,32.0,92.0,90.01,29.26,0.0,0.032,0.4008,OK
7885.0,D,9744.0,15602.0,1744.0,848.0,15.4,0.0,0.0,2.1197,40.0,76.0,76.53,36.1,0.0374,0.0,0.5737,OK
7886.0,D,12540.0,15586.0,1080.0,584.0,16.02,0.0,0.0,3.1395,34.0,76.0,76.37,24.32,0.04,0.0,0.418,OK
7887.0,D,5728.0,15584.0,2152.0,1132.0,15.2,0.0,0.0,1.7227,60.0,96.0,92.76,53.85,0.056,0.0,0.3736,OK
7888.0,D,3374.0,15582.0,2468.0,1192.0,14.94,0.0,0.0,2.1689,48.0,100.0,96.52,44.5,0.0442,0.0,0.5142,OK
7889.0,L,14392.0,15566.0,1384.0,0.0,0.0,636.0,12.99,3.1045,32.0,80.0,79.8,25.71,0.0,0.0311,0.5406,OK
7890.0,D,784.0,15548.0,5536.0,3720.0,17.04,0.0,0.0,7.606,38.0,270.0,268.03,35.24,0.0465,0.0,0.5396,OK
7891.0,L,9650.0,15530.0,948.0,0.0,0.0,496.0,13.64,3.5,72.0,22.0,70.0,20.0,0.0,0.0303,0.5985,OK
7892.0,L,10334.0,15500.0,1688.0,0.0,0.0,724.0,14.16,2.2754,42.0,86.0,85.28,37.48,0.0,0.0335,0.4673,OK
7893.0,L,14560.0,15484.0,1880.0,0.0,0.0,976.0,10.86,3.5438,36.0,112.0,111.21,31.38,0.0,0.0246,0.4663,OK
7894.0,L,5792.0,15476.0,1536.0,0.0,0.0,500.0,15.48,1.7834,44.0,74.0,72.43,40.61,0.0,0.05,0.4717,OK
7895.0,D,3998.0,15456.0,948.0,452.0,13.03,0.0,0.0,1.4466,46.0,60.0,57.63,39.84,0.0374,0.0,0.3435,OK
7896.0,L,8998.0,15452.0,1424.0,0.0,0.0,600.0,11.1,1.619,44.0,70.0,68.0,42.0,0.0,0.0259,0.4623,OK
7897.0,L,12594.0,15424.0,996.0,0.0,0.0,508.0,12.07,1.6285,54.0,78.0,79.03,48.53,0.0,0.0282,0.2365,OK
7898.0,L,14396.0,15420.0,1188.0,0.0,0.0,564.0,12.41,3.5032,26.0,86.0,84.01,23.98,0.0,0.0298,0.5313,OK
7899.0,D,9746.0,15410.0,2424.0,1220.0,15.54,0.0,0.0,2.6751,42.0,102.0,97.99,36.63,0.0378,0.0,0.5658,OK
7900.0,D,9068.0,15404.0,12808.0,8240.0,18.12,0.0,0.0,7.4519,66.0,430.0,427.81,57.41,0.0452,0.0,0.4513,OK
7901.0,L,9148.0,15400.0,2044.0,0.0,0.0,908.0,12.16,1.3611,74.0,100.0,98.0,72.0,0.0,0.0277,0.2762,OK
7902.0,L,10334.0,15382.0,2096.0,0.0,0.0,1000.0,13.89,1.8767,70.0,100.0,101.76,54.22,0.0,0.033,0.2994,OK
7903.0,L,8996.0,15382.0,944.0,0.0,0.0,432.0,11.08,1.0417,50.0,52.0,50.0,48.0,0.0,0.0258,0.3631,OK
7904.0,D,11388.0,15376.0,3208.0,1940.0,15.83,0.0,0.0,1.705,60.0,98.0,92.96,54.52,0.0426,0.0,0.5456,OK
7905.0,D,5718.0,15364.0,2420.0,1048.0,14.57,0.0,0.0,2.5222,62.0,150.0,148.16,58.74,0.0526,0.0,0.2602,OK
7906.0,L,14394.0,15290.0,1144.0,0.0,0.0,628.0,12.6,2.5,30.0,72.0,70.0,28.0,0.0,0.0303,0.5296,OK
7907.0,D,12536.0,15276.0,1464.0,772.0,15.25,0.0,0.0,2.3529,36.0,82.0,80.0,34.0,0.0385,0.0,0.4959,OK
7908.0,D,11394.0,15276.0,960.0,604.0,12.04,0.0,0.0,2.5833,34.0,70.0,70.51,27.29,0.0326,0.0,0.4034,OK
7909.0,L,14568.0,15260.0,1564.0,0.0,0.0,852.0,10.15,4.2744,30.0,104.0,102.31,23.94,0.0,0.0229,0.5013,OK
7910.0,L,4364.0,15256.0,1280.0,0.0,0.0,688.0,12.69,1.9291,44.0,54.0,58.46,30.3,0.0,0.0347,0.5387,OK
7911.0,D,782.0,15248.0,3336.0,1928.0,15.49,0.0,0.0,6.7747,36.0,216.0,214.15,31.61,0.0401,0.0,0.429,OK
7912.0,D,9746.0,15230.0,1220.0,728.0,15.02,0.0,0.0,1.4843,42.0,56.0,54.87,36.97,0.0366,0.0,0.5187,OK
7913.0,L,7234.0,15190.0,1120.0,0.0,0.0,352.0,13.25,1.3488,50.0,38.0,47.28,35.06,0.0,0.0373,0.5895,OK
7914.0,L,878.0,15190.0,1192.0,0.0,0.0,520.0,10.23,1.4045,46.0,60.0,59.33,42.24,0.0,0.0238,0.4319,OK
7915.0,L,640.0,15190.0,1192.0,0.0,0.0,584.0,11.0,1.1457,44.0,38.0,41.28,36.03,0.0,0.0258,0.7129,OK
7916.0,D&L,5734.0,15184.0,5736.0,1868.0,16.36,780.0,14.01,2.2917,120.0,166.0,180.47,78.75,0.0565,0.0438,0.288,OK
7917.0,D,11390.0,15180.0,1500.0,932.0,12.66,0.0,0.0,2.2667,42.0,78.0,78.25,34.52,0.0344,0.0,0.4579,OK
7918.0,L,11464.0,15174.0,1248.0,0.0,0.0,668.0,12.23,1.5035,58.0,72.0,72.36,48.13,0.0,0.0295,0.2989,OK
7919.0,L,14044.0,15126.0,1092.0,0.0,0.0,548.0,12.21,3.9107,24.0,84.0,82.09,20.99,0.0,0.0308,0.5417,OK
7920.0,L,3848.0,15108.0,988.0,0.0,0.0,412.0,12.81,1.317,40.0,50.0,48.43,36.77,0.0,0.0316,0.494,OK
7921.0,D,12536.0,15104.0,1640.0,788.0,15.62,0.0,0.0,3.2353,36.0,112.0,110.0,34.0,0.0395,0.0,0.4067,OK
7922.0,D,9752.0,15086.0,1020.0,408.0,16.04,0.0,0.0,2.0395,30.0,56.0,54.61,26.78,0.0388,0.0,0.6071,OK
7923.0,L,2984.0,15080.0,944.0,0.0,0.0,436.0,13.43,2.1076,34.0,52.0,52.0,24.67,0.0,0.032,0.5339,OK
7924.0,L,630.0,15060.0,2784.0,0.0,0.0,1280.0,10.58,2.0158,50.0,96.0,95.01,47.13,0.0,0.0244,0.58,OK
7925.0,D,11402.0,15054.0,1056.0,532.0,12.16,0.0,0.0,2.7755,28.0,70.0,67.47,24.31,0.0329,0.0,0.5388,OK
7926.0,L,2828.0,15034.0,956.0,0.0,0.0,500.0,13.25,2.0782,32.0,58.0,57.06,27.46,0.0,0.0308,0.5151,OK
7927.0,L,5804.0,15032.0,1156.0,0.0,0.0,528.0,13.44,1.2389,44.0,46.0,45.92,37.06,0.0,0.0396,0.5711,OK
7928.0,L,5530.0,15032.0,960.0,0.0,0.0,340.0,13.34,1.2,32.0,38.0,36.0,30.0,0.0,0.0409,0.7895,OK
7929.0,L,5646.0,15028.0,1716.0,0.0,0.0,1072.0,13.39,1.8889,70.0,38.0,68.0,36.0,0.0,0.0403,0.6451,OK
7930.0,D,5744.0,14998.0,1976.0,1084.0,14.58,0.0,0.0,3.9187,34.0,122.0,120.44,30.73,0.0484,0.0,0.4764,OK
7931.0,L,12588.0,14996.0,1356.0,0.0,0.0,796.0,12.61,1.5757,78.0,82.0,86.97,55.19,0.0,0.0297,0.212,OK
7932.0,L,634.0,14988.0,1296.0,0.0,0.0,892.0,10.62,1.6124,46.0,54.0,59.11,36.66,0.0,0.0241,0.5217,OK
7933.0,L,8988.0,14976.0,3164.0,0.0,0.0,1600.0,12.23,2.6255,64.0,144.0,143.68,54.73,0.0,0.0282,0.3433,OK
7934.0,L,3258.0,14966.0,948.0,0.0,0.0,448.0,12.2,1.0253,50.0,68.0,55.66,54.28,0.0,0.0294,0.2788,OK
7935.0,L,326.0,14962.0,2704.0,0.0,0.0,1468.0,11.88,2.0435,58.0,112.0,110.07,53.87,0.0,0.0277,0.4163,OK
7936.0,L,870.0,14934.0,1072.0,0.0,0.0,460.0,9.48,1.3679,44.0,64.0,58.0,42.4,0.0,0.0214,0.3807,OK
7937.0,L,11464.0,14932.0,1128.0,0.0,0.0,404.0,12.27,1.5232,34.0,46.0,45.77,30.05,0.0,0.0296,0.7212,OK
7938.0,L,5784.0,14932.0,1860.0,0.0,0.0,724.0,14.62,1.1849,54.0,54.0,55.3,46.68,0.0,0.0425,0.6379,OK
7939.0,L,14394.0,14920.0,1984.0,0.0,0.0,1128.0,12.56,3.4879,30.0,96.0,93.74,26.87,0.0,0.0303,0.6889,OK
7940.0,D,794.0,14914.0,2172.0,1252.0,15.59,0.0,0.0,8.0,22.0,162.0,160.0,20.0,0.0383,0.0,0.6094,OK
7941.0,D,13464.0,14902.0,988.0,508.0,14.85,0.0,0.0,1.3356,42.0,56.0,51.72,38.72,0.0394,0.0,0.4201,OK
7942.0,D,11400.0,14880.0,1092.0,712.0,13.24,0.0,0.0,1.8913,36.0,60.0,57.21,30.25,0.0357,0.0,0.5056,OK
7943.0,L,10330.0,14862.0,6480.0,0.0,0.0,2928.0,13.49,7.0664,52.0,348.0,346.07,48.97,0.0,0.0319,0.3581,OK
7944.0,L,11458.0,14828.0,1008.0,0.0,0.0,332.0,12.04,1.3125,44.0,34.0,42.0,32.0,0.0,0.0291,0.6738,OK
7945.0,D,3370.0,14808.0,1000.0,464.0,15.04,0.0,0.0,1.4812,50.0,60.0,58.59,39.56,0.0386,0.0,0.3333,OK
7946.0,D,9742.0,14798.0,1636.0,804.0,17.04,0.0,0.0,1.1667,50.0,58.0,56.0,48.0,0.0411,0.0,0.5641,OK
7947.0,L,9150.0,14774.0,1148.0,0.0,0.0,616.0,10.99,1.0722,56.0,62.0,55.79,52.03,0.0,0.0246,0.3306,OK
7948.0,L,14046.0,14716.0,1088.0,0.0,0.0,484.0,13.04,3.7,22.0,76.0,74.0,20.0,0.0,0.033,0.6507,OK
7949.0,D,11388.0,14706.0,3372.0,1748.0,13.98,0.0,0.0,3.1411,48.0,144.0,142.03,45.22,0.0378,0.0,0.4878,OK
7950.0,L,4136.0,14692.0,1256.0,0.0,0.0,640.0,13.72,2.0485,42.0,66.0,66.67,32.55,0.0,0.0308,0.4531,OK
7951.0,L,332.0,14686.0,1036.0,0.0,0.0,656.0,10.69,2.9723,26.0,70.0,68.29,22.98,0.0,0.0242,0.5692,OK
7952.0,D,5730.0,14666.0,6404.0,3416.0,16.02,0.0,0.0,5.4325,52.0,258.0,256.63,47.24,0.05,0.0,0.4773,OK
7953.0,L,5784.0,14642.0,2140.0,0.0,0.0,968.0,14.63,1.3571,58.0,78.0,76.0,56.0,0.0,0.04,0.473,OK
7954.0,L,6276.0,14626.0,1816.0,0.0,0.0,788.0,13.16,2.4494,44.0,92.0,90.8,37.07,0.0,0.034,0.4486,OK
7955.0,L,5656.0,14616.0,1268.0,0.0,0.0,536.0,11.94,1.1849,44.0,50.0,48.31,40.78,0.0,0.0327,0.5764,OK
7956.0,D,786.0,14610.0,4008.0,2836.0,15.09,0.0,0.0,9.588,30.0,256.0,254.13,26.5,0.0364,0.0,0.5219,OK
7957.0,L,14398.0,14608.0,1416.0,0.0,0.0,652.0,12.19,5.8,22.0,118.0,116.0,20.0,0.0,0.0295,0.5455,OK
7958.0,D,11392.0,14564.0,1764.0,860.0,13.12,0.0,0.0,3.023,38.0,108.0,106.1,35.1,0.0354,0.0,0.4298,OK
7959.0,D,9740.0,14548.0,5432.0,2832.0,16.56,0.0,0.0,4.1822,48.0,190.0,188.43,45.05,0.0398,0.0,0.5956,OK
7960.0,L,5790.0,14448.0,3144.0,0.0,0.0,1256.0,14.12,2.8013,56.0,148.0,143.68,51.29,0.0,0.0369,0.3793,OK
7961.0,L,10332.0,14436.0,1768.0,0.0,0.0,776.0,14.28,2.1673,66.0,108.0,103.51,47.76,0.0,0.0335,0.248,OK
7962.0,L,878.0,14434.0,928.0,0.0,0.0,440.0,9.24,2.7143,40.0,64.0,67.98,25.04,0.0,0.0204,0.3625,OK
7963.0,D,784.0,14422.0,2132.0,1088.0,15.35,0.0,0.0,5.3846,28.0,142.0,140.0,26.0,0.0366,0.0,0.5362,OK
7964.0,L,632.0,14358.0,1988.0,0.0,0.0,972.0,9.91,2.7368,40.0,106.0,104.0,38.0,0.0,0.0219,0.4689,OK
7965.0,L,10326.0,14328.0,1144.0,0.0,0.0,556.0,13.63,1.6716,44.0,62.0,63.36,37.9,0.0,0.0317,0.4194,OK
7966.0,D,11394.0,14314.0,4460.0,2272.0,14.24,0.0,0.0,4.8096,48.0,222.0,219.9,45.72,0.0378,0.0,0.4185,OK
7967.0,L,878.0,14300.0,1544.0,0.0,0.0,540.0,9.24,2.4009,48.0,96.0,95.6,39.82,0.0,0.0205,0.3351,OK
7968.0,D,12540.0,14298.0,1176.0,624.0,14.7,0.0,0.0,3.1122,28.0,80.0,78.52,25.23,0.0367,0.0,0.525,OK
7969.0,L,9006.0,14294.0,1204.0,0.0,0.0,600.0,12.09,1.8082,54.0,70.0,72.53,40.11,0.0,0.027,0.3185,OK
7970.0,L,6484.0,14286.0,968.0,0.0,0.0,360.0,11.83,1.35,56.0,38.0,49.63,36.77,0.0,0.0279,0.4549,OK
7971.0,D,5730.0,14246.0,9476.0,5452.0,16.65,0.0,0.0,7.9043,52.0,386.0,384.19,48.61,0.0469,0.0,0.4721,OK
7972.0,L,4966.0,14232.0,1048.0,0.0,0.0,520.0,11.2,1.0205,44.0,44.0,42.14,41.3,0.0,0.0271,0.5413,OK
7973.0,L,14400.0,14230.0,952.0,0.0,0.0,460.0,12.82,3.8889,20.0,68.0,66.59,17.12,0.0,0.0309,0.7,OK
7974.0,L,12606.0,14216.0,1120.0,0.0,0.0,472.0,10.93,1.2857,50.0,54.0,50.91,39.6,0.0,0.0253,0.4148,OK
7975.0,L,5644.0,14216.0,1328.0,0.0,0.0,652.0,10.24,1.3794,58.0,40.0,53.53,38.81,0.0,0.0252,0.5724,OK
7976.0,L,5792.0,14200.0,2856.0,0.0,0.0,1396.0,13.97,2.7362,68.0,138.0,137.54,50.27,0.0,0.0342,0.3043,OK
7977.0,D,9740.0,14164.0,4632.0,2084.0,16.04,0.0,0.0,4.4402,46.0,196.0,193.89,43.67,0.0377,0.0,0.5138,OK
7978.0,L,862.0,14130.0,1440.0,0.0,0.0,632.0,10.75,1.5749,66.0,56.0,69.11,43.88,0.0,0.0241,0.3896,OK
7979.0,D,782.0,14110.0,1884.0,1176.0,16.74,0.0,0.0,3.2786,30.0,92.0,89.87,27.41,0.0407,0.0,0.6826,OK
7980.0,D,11398.0,14106.0,1512.0,848.0,13.95,0.0,0.0,2.0741,36.0,70.0,69.02,33.28,0.0364,0.0,0.6,OK
7981.0,L,9142.0,14096.0,1748.0,0.0,0.0,736.0,10.18,2.0,38.0,74.0,72.0,36.0,0.0,0.022,0.6216,OK
7982.0,L,876.0,14054.0,1368.0,0.0,0.0,624.0,10.11,1.3333,44.0,58.0,56.0,42.0,0.0,0.0229,0.5361,OK
7983.0,L,10330.0,14022.0,2092.0,0.0,0.0,1136.0,13.25,3.035,56.0,132.0,129.44,42.65,0.0,0.0303,0.283,OK
7984.0,L,632.0,14018.0,1700.0,0.0,0.0,916.0,11.5,3.0,44.0,110.0,110.9,36.97,0.0,0.0261,0.3512,OK
7985.0,D,5734.0,14004.0,5168.0,3252.0,16.7,0.0,0.0,5.3218,46.0,222.0,220.23,41.38,0.0431,0.0,0.5061,OK
7986.0,D,12534.0,13980.0,952.0,456.0,15.02,0.0,0.0,1.4,32.0,44.0,42.0,30.0,0.0368,0.0,0.6761,OK
7987.0,L,9144.0,13944.0,1260.0,0.0,0.0,472.0,10.19,1.5714,40.0,54.0,51.77,32.95,0.0,0.0219,0.5833,OK
7988.0,L,9006.0,13940.0,1944.0,0.0,0.0,1048.0,11.69,2.007,48.0,90.0,88.35,44.02,0.0,0.0256,0.45,OK
7989.0,L,14566.0,13932.0,904.0,0.0,0.0,428.0,9.89,2.3077,28.0,62.0,60.0,26.0,0.0,0.0224,0.5207,OK
7990.0,D,788.0,13910.0,1052.0,616.0,14.67,0.0,0.0,3.8604,22.0,76.0,74.24,19.23,0.0367,0.0,0.6292,OK
7991.0,L,206.0,13884.0,40916.0,200.0,13.97,30768.0,14.24,50.4504,68.0,3020.0,3017.9,59.82,0.0386,0.0365,0.1992,OK
7992.0,L,874.0,13876.0,2216.0,0.0,0.0,1176.0,11.42,2.3522,54.0,120.0,118.28,50.28,0.0,0.0264,0.342,OK
7993.0,L,12606.0,13854.0,1144.0,0.0,0.0,428.0,9.95,1.5974,38.0,56.0,55.47,34.72,0.0,0.0225,0.5376,OK
7994.0,D,11394.0,13812.0,3528.0,1356.0,12.32,0.0,0.0,6.2462,34.0,190.0,188.13,30.12,0.0317,0.0,0.5461,OK
7995.0,L,640.0,13792.0,1164.0,0.0,0.0,512.0,12.39,2.125,34.0,70.0,68.0,32.0,0.0,0.0292,0.4891,OK
7996.0,D,9728.0,13782.0,4428.0,1996.0,17.68,0.0,0.0,2.119,118.0,228.0,211.79,99.95,0.0409,0.0,0.1646,OK
7997.0,L,14394.0,13770.0,3048.0,0.0,0.0,1592.0,13.55,7.8462,28.0,206.0,204.0,26.0,0.0,0.0324,0.5284,OK
7998.0,D,782.0,13766.0,2184.0,1388.0,15.96,0.0,0.0,2.9198,38.0,96.0,94.12,32.24,0.0411,0.0,0.5987,OK
7999.0,L,14568.0,13764.0,1492.0,0.0,0.0,768.0,10.13,3.4397,26.0,82.0,80.76,23.48,0.0,0.0229,0.6998,OK
8000.0,D,13474.0,13744.0,1692.0,600.0,14.27,0.0,0.0,2.3256,38.0,84.0,82.37,35.42,0.0371,0.0,0.5301,OK
8001.0,D,5858.0,13726.0,1524.0,620.0,16.12,0.0,0.0,3.7324,34.0,92.0,90.52,24.25,0.0381,0.0,0.4872,OK
8002.0,L,9004.0,13702.0,956.0,0.0,0.0,516.0,11.96,1.9231,52.0,60.0,67.08,34.88,0.0,0.0259,0.3064,OK
8003.0,L,12600.0,13698.0,1452.0,0.0,0.0,540.0,11.67,2.0526,40.0,80.0,78.0,38.0,0.0,0.0263,0.4538,OK
8004.0,L,632.0,13674.0,1556.0,0.0,0.0,856.0,13.15,1.2632,40.0,50.0,48.0,38.0,0.0,0.0317,0.778,OK
8005.0,L,14572.0,13664.0,928.0,0.0,0.0,432.0,10.39,3.6667,20.0,68.0,66.0,18.0,0.0,0.0235,0.6824,OK
8006.0,D,782.0,13658.0,924.0,444.0,16.61,0.0,0.0,1.5902,36.0,58.0,54.87,34.51,0.0439,0.0,0.4425,OK
8007.0,L,222.0,13642.0,1608.0,0.0,0.0,1256.0,15.28,6.5,22.0,132.0,130.0,20.0,0.0,0.0384,0.5537,OK
8008.0,D,11398.0,13614.0,1180.0,572.0,13.07,0.0,0.0,2.6028,34.0,76.0,75.13,28.87,0.0332,0.0,0.4567,OK
8009.0,D,9746.0,13608.0,2424.0,1152.0,15.67,0.0,0.0,4.1185,40.0,144.0,142.43,34.58,0.0359,0.0,0.4208,OK
8010.0,L,858.0,13602.0,1752.0,0.0,0.0,840.0,10.88,1.948,74.0,42.0,74.7,38.35,0.0,0.0266,0.5637,OK
8011.0,L,514.0,13598.0,3724.0,0.0,0.0,2084.0,14.78,3.1639,48.0,144.0,142.35,44.99,0.0,0.036,0.5388,OK
8012.0,L,2984.0,13588.0,1940.0,0.0,0.0,848.0,11.18,3.6875,34.0,120.0,118.0,32.0,0.0,0.0243,0.4755,OK
8013.0,L,632.0,13566.0,996.0,0.0,0.0,612.0,11.4,2.576,32.0,76.0,73.88,28.68,0.0,0.0282,0.4095,OK
8014.0,L,4356.0,13558.0,1032.0,0.0,0.0,552.0,10.13,1.6642,48.0,72.0,68.58,41.21,0.0,0.0219,0.2986,OK
8015.0,D,786.0,13514.0,976.0,440.0,16.26,0.0,0.0,2.5,26.0,62.0,60.0,24.0,0.0448,0.0,0.6055,OK
8016.0,D,9744.0,13478.0,2104.0,988.0,16.01,0.0,0.0,2.5789,40.0,100.0,98.0,38.0,0.0363,0.0,0.526,OK
8017.0,L,882.0,13452.0,1576.0,0.0,0.0,720.0,10.93,1.7636,50.0,56.0,61.35,34.79,0.0,0.0277,0.5629,OK
8018.0,L,10332.0,13450.0,2372.0,0.0,0.0,1136.0,12.0,4.8658,40.0,162.0,160.19,32.92,0.0,0.0266,0.366,OK
8019.0,L,332.0,13420.0,1016.0,0.0,0.0,576.0,10.94,1.25,52.0,42.0,50.0,40.0,0.0,0.0292,0.4652,OK
8020.0,D,11396.0,13410.0,1452.0,620.0,13.32,0.0,0.0,3.0635,40.0,90.0,88.68,28.95,0.0335,0.0,0.4033,OK
8021.0,L,226.0,13392.0,2464.0,0.0,0.0,1460.0,14.75,14.9961,18.0,232.0,230.03,15.34,0.0,0.0398,0.59,OK
8022.0,L,3268.0,13374.0,1152.0,0.0,0.0,536.0,12.59,1.1548,46.0,38.0,41.83,36.22,0.0,0.0286,0.659,OK
8023.0,D&L,500.0,13364.0,597000.0,218416.0,24.13,141956.0,17.69,34.7554,224.0,7624.0,7621.71,219.3,0.0662,0.0435,0.3496,OK
8024.0,L,526.0,13352.0,1564.0,0.0,0.0,712.0,13.61,1.8774,38.0,64.0,63.13,33.62,0.0,0.0366,0.6431,OK
8025.0,L,4112.0,13348.0,988.0,0.0,0.0,404.0,11.3,2.0568,48.0,56.0,63.1,30.68,0.0,0.0241,0.3676,OK
8026.0,D,9750.0,13340.0,1524.0,620.0,14.87,0.0,0.0,2.8876,32.0,86.0,84.4,29.23,0.0335,0.0,0.5538,OK
8027.0,L,2826.0,13324.0,980.0,0.0,0.0,512.0,13.08,1.6942,36.0,52.0,52.32,30.88,0.0,0.0297,0.5235,OK
8028.0,L,868.0,13312.0,1792.0,0.0,0.0,668.0,12.3,1.8406,60.0,100.0,99.63,54.13,0.0,0.0325,0.2987,OK
8029.0,L,2980.0,13302.0,1364.0,0.0,0.0,436.0,13.41,3.4615,28.0,92.0,90.0,26.0,0.0,0.0305,0.5295,OK
8030.0,D,10984.0,13294.0,1952.0,1508.0,17.63,0.0,0.0,6.3795,58.0,134.0,142.02,22.26,0.0454,0.0,0.2512,OK
8031.0,L,12596.0,13286.0,1232.0,0.0,0.0,512.0,11.56,1.8266,56.0,58.0,67.29,36.84,0.0,0.0256,0.3793,OK
8032.0,D,9748.0,13258.0,992.0,528.0,14.52,0.0,0.0,1.9836,36.0,56.0,58.69,29.59,0.0327,0.0,0.4921,OK
8033.0,D,772.0,13238.0,3988.0,1820.0,14.69,0.0,0.0,5.5087,46.0,218.0,216.32,39.27,0.0433,0.0,0.3977,OK
8034.0,L,226.0,13234.0,1268.0,0.0,0.0,804.0,17.13,5.5468,22.0,112.0,110.07,19.84,0.0,0.0502,0.5146,OK
8035.0,D,9910.0,13182.0,1652.0,1320.0,22.57,0.0,0.0,2.9562,38.0,84.0,84.61,28.62,0.0528,0.0,0.5175,OK
8036.0,L,14394.0,13138.0,1064.0,0.0,0.0,556.0,13.78,3.2101,26.0,74.0,72.43,22.56,0.0,0.0326,0.553,OK
8037.0,D,9752.0,13128.0,2408.0,1044.0,18.54,0.0,0.0,2.6566,46.0,112.0,110.58,41.63,0.042,0.0,0.4674,OK
8038.0,D,5858.0,13120.0,3744.0,2404.0,16.7,0.0,0.0,6.3099,32.0,188.0,186.21,29.51,0.039,0.0,0.6223,OK
8039.0,L,2820.0,13114.0,1328.0,0.0,0.0,596.0,13.76,1.7692,42.0,62.0,61.72,34.88,0.0,0.0325,0.51,OK
8040.0,L,2308.0,13104.0,1540.0,0.0,0.0,636.0,15.41,2.1098,56.0,64.0,76.84,36.42,0.0,0.0367,0.4297,OK
8041.0,D,4018.0,13094.0,1076.0,488.0,15.01,0.0,0.0,1.0143,46.0,50.0,44.9,44.27,0.0376,0.0,0.4678,OK
8042.0,D,16138.0,13090.0,1048.0,1008.0,20.61,0.0,0.0,40.7378,234.0,8.0,232.03,5.7,0.0482,0.0,0.5598,OK
8043.0,D,2400.0,13080.0,1128.0,924.0,20.11,0.0,0.0,1.3966,54.0,44.0,50.77,36.35,0.0528,0.0,0.4747,OK
8044.0,D&L,182.0,13070.0,2144.0,360.0,27.63,1256.0,20.26,2.6288,66.0,136.0,136.41,51.89,0.1011,0.0631,0.2389,OK
8045.0,L,10340.0,13042.0,2156.0,0.0,0.0,780.0,11.07,5.5118,26.0,134.0,132.01,23.95,0.0,0.0241,0.6188,OK
8046.0,D,3384.0,13042.0,1372.0,552.0,14.43,0.0,0.0,1.9276,36.0,60.0,57.95,30.06,0.0383,0.0,0.6352,OK
8047.0,L,638.0,13016.0,1264.0,0.0,0.0,516.0,15.36,2.1667,40.0,78.0,77.4,35.72,0.0,0.0461,0.4051,OK
8048.0,D,4414.0,13014.0,996.0,520.0,13.17,0.0,0.0,1.2492,44.0,46.0,46.49,37.22,0.0353,0.0,0.4921,OK
