number,parameter_01,parameter_02(x_coordinate),parameter_03(y_coordinate),parameter_04,parameter_05,parameter_06,parameter_07,parameter_08,parameter_09,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,parameter_15,parameter_16,class(OK/NG)
209.0,L,82.0,9578.0,1036.0,0.0,0.0,524.0,12.88,1.7679,74.0,46.0,71.34,40.35,0.0,0.0447,0.3043,OK
210.0,L,112.0,9156.0,1008.0,0.0,0.0,628.0,13.32,1.0753,42.0,38.0,39.22,36.48,0.0,0.0448,0.6316,OK
211.0,L,80.0,8360.0,1452.0,0.0,0.0,720.0,11.17,1.2593,70.0,56.0,68.0,54.0,0.0,0.0342,0.3704,OK
212.0,L,102.0,8098.0,924.0,0.0,0.0,548.0,11.22,1.9455,50.0,46.0,59.35,30.51,0.0,0.0344,0.4017,OK
213.0,D,4934.0,7944.0,27832.0,23296.0,34.98,0.0,0.0,2.5876,326.0,252.0,370.5,143.18,0.1308,0.0,0.3388,OK
214.0,D,12778.0,7286.0,956.0,648.0,21.29,0.0,0.0,1.8667,58.0,32.0,56.0,30.0,0.1402,0.0,0.5151,OK
215.0,L,13110.0,6804.0,1440.0,0.0,0.0,884.0,12.65,2.1831,74.0,38.0,73.33,33.59,0.0,0.0643,0.5121,OK
216.0,D&L,4492.0,5996.0,250744.0,76664.0,61.64,105392.0,3.45,1.5016,934.0,652.0,939.13,625.44,0.2532,0.0112,0.4118,OK
217.0,L,68.0,5808.0,924.0,0.0,0.0,508.0,13.35,2.3825,76.0,32.0,72.42,30.39,0.0,0.0458,0.3799,OK
218.0,D,7994.0,5676.0,976.0,480.0,14.52,0.0,0.0,2.4942,30.0,70.0,68.19,27.34,0.052,0.0,0.4648,OK
219.0,D,7992.0,5496.0,1716.0,928.0,13.95,0.0,0.0,2.6875,34.0,88.0,86.0,32.0,0.0507,0.0,0.5735,OK
220.0,D,7994.0,5386.0,1552.0,744.0,14.64,0.0,0.0,2.1438,38.0,74.0,72.44,33.79,0.0538,0.0,0.5519,OK
221.0,D,7992.0,5268.0,1144.0,584.0,15.13,0.0,0.0,1.7422,32.0,52.0,49.94,28.66,0.0562,0.0,0.6875,OK
222.0,D,7986.0,4956.0,5692.0,2852.0,16.19,0.0,0.0,7.4,42.0,298.0,296.0,40.0,0.0613,0.0,0.4548,OK
223.0,D,7986.0,4736.0,2236.0,1120.0,15.48,0.0,0.0,2.5556,38.0,94.0,92.0,36.0,0.0604,0.0,0.626,OK
224.0,L,86.0,4694.0,1020.0,0.0,0.0,404.0,11.29,1.4118,50.0,36.0,48.0,34.0,0.0,0.0382,0.5667,OK
225.0,D,7990.0,4608.0,1336.0,588.0,14.95,0.0,0.0,2.5335,36.0,84.0,83.0,32.76,0.059,0.0,0.4418,OK
226.0,D,7988.0,4482.0,1648.0,804.0,15.52,0.0,0.0,2.1367,42.0,82.0,80.88,37.85,0.0619,0.0,0.4785,OK
227.0,L,1456.0,4326.0,6404.0,0.0,0.0,2784.0,9.68,1.4717,108.0,158.0,156.0,106.0,0.0,0.0358,0.3753,OK
228.0,D,7984.0,4320.0,3592.0,2068.0,16.17,0.0,0.0,3.363,44.0,142.0,140.09,41.66,0.0653,0.0,0.5749,OK
229.0,D,1356.0,4082.0,26496.0,21572.0,27.75,0.0,0.0,3.2303,226.0,358.0,399.96,123.81,0.126,0.0,0.3275,OK
230.0,D,7984.0,3940.0,4384.0,2336.0,16.13,0.0,0.0,6.5214,40.0,246.0,244.14,37.44,0.0664,0.0,0.4455,OK
231.0,L,1386.0,3864.0,5844.0,0.0,0.0,2476.0,10.94,2.1257,212.0,130.0,196.92,92.63,0.0,0.042,0.212,OK
232.0,D,7986.0,3818.0,1296.0,516.0,14.88,0.0,0.0,2.8596,30.0,80.0,78.64,27.5,0.062,0.0,0.54,OK
233.0,D,9894.0,3592.0,2848.0,2460.0,28.27,0.0,0.0,4.1201,110.0,106.0,147.06,35.69,0.1043,0.0,0.2443,OK
234.0,L,3676.0,3574.0,1472.0,0.0,0.0,700.0,15.01,1.1564,64.0,54.0,54.78,47.37,0.0,0.056,0.4259,OK
235.0,D,7984.0,3550.0,3848.0,1744.0,15.83,0.0,0.0,4.1662,42.0,164.0,162.28,38.95,0.0665,0.0,0.5587,OK
236.0,D,7982.0,3450.0,1508.0,780.0,18.07,0.0,0.0,1.8243,44.0,70.0,69.9,38.32,0.0765,0.0,0.4896,OK
237.0,D&L,174.0,3412.0,21784.0,12384.0,56.67,7548.0,19.78,1.0422,214.0,152.0,181.77,174.41,0.4112,0.0923,0.6697,NG
238.0,D,9724.0,3402.0,5252.0,4088.0,26.69,0.0,0.0,4.3333,180.0,164.0,239.0,55.15,0.1013,0.0,0.1779,OK
239.0,L,3678.0,3286.0,1144.0,0.0,0.0,432.0,13.66,1.1609,62.0,48.0,55.96,48.2,0.0,0.054,0.3844,OK
240.0,L,1666.0,3286.0,5096.0,0.0,0.0,2116.0,11.45,1.767,92.0,158.0,156.63,88.64,0.0,0.0499,0.3506,OK
241.0,D,7986.0,3240.0,1880.0,892.0,15.35,0.0,0.0,2.5753,38.0,88.0,86.93,33.76,0.066,0.0,0.5622,OK
242.0,D,1616.0,3134.0,1404.0,960.0,9.67,0.0,0.0,2.872,84.0,76.0,106.92,37.23,0.0556,0.0,0.2199,OK
243.0,D&L,9136.0,3122.0,39856.0,26192.0,28.97,528.0,10.82,2.579,708.0,272.0,682.55,264.65,0.1153,0.0372,0.207,OK
244.0,D,9802.0,3024.0,1240.0,1076.0,19.65,0.0,0.0,3.1765,32.0,74.0,74.21,23.36,0.0752,0.0,0.5236,OK
245.0,D,1614.0,3024.0,17056.0,13604.0,15.7,0.0,0.0,2.3984,272.0,172.0,291.32,121.46,0.0924,0.0,0.3646,OK
246.0,L,1802.0,2998.0,1228.0,0.0,0.0,572.0,11.84,1.3089,62.0,54.0,63.15,48.24,0.0,0.0581,0.3668,OK
247.0,D,7984.0,2984.0,3848.0,1896.0,15.12,0.0,0.0,5.2842,40.0,198.0,196.25,37.14,0.0662,0.0,0.4859,OK
248.0,L,7906.0,2918.0,1276.0,0.0,0.0,408.0,13.58,1.6352,66.0,44.0,64.78,39.61,0.0,0.052,0.4394,OK
249.0,L,1424.0,2864.0,1864.0,0.0,0.0,956.0,10.73,3.9457,176.0,50.0,173.88,44.07,0.0,0.0517,0.2118,OK
250.0,L,1672.0,2858.0,3708.0,0.0,0.0,1436.0,8.0,1.2666,94.0,110.0,111.72,88.2,0.0,0.0406,0.3586,OK
251.0,D,7984.0,2838.0,1580.0,920.0,16.06,0.0,0.0,1.6111,38.0,60.0,58.0,36.0,0.0711,0.0,0.693,OK
252.0,L,1910.0,2804.0,1120.0,0.0,0.0,608.0,12.53,2.5289,72.0,38.0,74.09,29.3,0.0,0.0664,0.4094,OK
253.0,D,7982.0,2654.0,3112.0,1540.0,15.81,0.0,0.0,3.7931,46.0,164.0,162.46,42.83,0.0698,0.0,0.4125,OK
254.0,D,7986.0,2536.0,1248.0,764.0,14.58,0.0,0.0,1.733,34.0,52.0,50.33,29.04,0.0648,0.0,0.7059,OK
255.0,D,2492.0,2508.0,1640.0,744.0,8.93,0.0,0.0,2.7441,68.0,80.0,97.19,35.42,0.0732,0.0,0.3015,OK
256.0,D,2164.0,2476.0,7592.0,3612.0,8.02,0.0,0.0,2.5782,298.0,120.0,298.26,115.68,0.0692,0.0,0.2123,OK
257.0,D,7990.0,2472.0,1056.0,452.0,16.47,0.0,0.0,1.8199,28.0,46.0,45.19,24.83,0.0735,0.0,0.8199,OK
258.0,D,1970.0,2440.0,1020.0,560.0,7.66,0.0,0.0,3.5588,98.0,38.0,94.92,26.67,0.0671,0.0,0.2739,OK
259.0,D,2460.0,2432.0,1816.0,1084.0,9.59,0.0,0.0,2.0987,96.0,46.0,87.31,41.6,0.0791,0.0,0.4112,OK
260.0,L,2518.0,2140.0,1120.0,0.0,0.0,476.0,8.98,1.0622,56.0,48.0,47.21,44.45,0.0,0.0497,0.4167,OK
261.0,L,3440.0,2092.0,1028.0,0.0,0.0,392.0,13.25,1.9313,58.0,38.0,57.89,29.97,0.0,0.0698,0.4664,OK
262.0,L,2540.0,2054.0,1020.0,0.0,0.0,472.0,10.94,1.0472,56.0,46.0,45.02,43.0,0.0,0.0589,0.396,OK
263.0,D,7980.0,2024.0,4824.0,2264.0,16.62,0.0,0.0,4.4748,52.0,222.0,220.08,49.18,0.0728,0.0,0.4179,OK
264.0,L,2044.0,2020.0,13932.0,0.0,0.0,5156.0,8.74,3.1818,334.0,122.0,325.51,102.3,0.0,0.0477,0.3419,OK
265.0,L,2308.0,1996.0,6972.0,0.0,0.0,3320.0,9.87,2.6447,196.0,114.0,210.44,79.57,0.0,0.0521,0.312,OK
266.0,L,2176.0,1996.0,2200.0,0.0,0.0,1048.0,7.71,1.2288,104.0,74.0,92.88,75.58,0.0,0.0411,0.2859,OK
267.0,D,7980.0,1912.0,1556.0,1076.0,17.2,0.0,0.0,1.1054,62.0,56.0,56.99,51.56,0.0756,0.0,0.4482,OK
268.0,D,7980.0,1716.0,1996.0,1024.0,16.73,0.0,0.0,2.0964,44.0,84.0,83.08,39.63,0.073,0.0,0.54,OK
269.0,D,7984.0,1496.0,3360.0,1580.0,16.64,0.0,0.0,4.9444,38.0,180.0,178.0,36.0,0.0721,0.0,0.4912,OK
270.0,D,7982.0,1130.0,3680.0,1628.0,15.98,0.0,0.0,4.1129,42.0,166.0,163.68,39.8,0.0682,0.0,0.5278,OK
271.0,D,7982.0,970.0,3156.0,1676.0,15.57,0.0,0.0,2.5567,50.0,122.0,120.73,47.22,0.0661,0.0,0.5174,OK
272.0,L,5244.0,866.0,964.0,0.0,0.0,368.0,13.05,1.7582,64.0,40.0,63.68,36.22,0.0,0.0619,0.3766,OK
273.0,L,6460.0,624.0,1432.0,0.0,0.0,788.0,13.24,3.4654,98.0,36.0,96.8,27.93,0.0,0.0564,0.4059,OK
274.0,D,7982.0,390.0,2640.0,1352.0,14.92,0.0,0.0,3.7849,38.0,132.0,130.17,34.39,0.0611,0.0,0.5263,OK
275.0,D,4394.0,200.0,1776.0,748.0,9.98,0.0,0.0,1.1667,58.0,50.0,56.0,48.0,0.0551,0.0,0.6124,OK
276.0,D,9792.0,192.0,1608.0,836.0,10.35,0.0,0.0,1.5833,50.0,78.0,76.0,48.0,0.0365,0.0,0.4123,OK
277.0,D,6272.0,186.0,1160.0,512.0,7.54,0.0,0.0,1.086,52.0,58.0,54.86,50.52,0.0369,0.0,0.3846,OK
278.0,D,6694.0,184.0,1844.0,924.0,10.92,0.0,0.0,1.9524,84.0,44.0,82.0,42.0,0.0514,0.0,0.4989,OK
279.0,D,4206.0,164.0,1060.0,464.0,13.35,0.0,0.0,1.9286,30.0,56.0,54.0,28.0,0.073,0.0,0.631,OK
280.0,D,7060.0,158.0,1444.0,732.0,12.16,0.0,0.0,2.1522,84.0,48.0,88.55,41.14,0.055,0.0,0.3581,OK
281.0,D,7296.0,152.0,7988.0,3632.0,13.52,0.0,0.0,2.8782,238.0,100.0,241.43,83.88,0.0562,0.0,0.3356,OK
282.0,D,5512.0,150.0,1372.0,744.0,13.61,0.0,0.0,1.5882,56.0,36.0,54.0,34.0,0.0688,0.0,0.6806,OK
283.0,D,8130.0,146.0,936.0,360.0,12.02,0.0,0.0,1.8764,48.0,80.0,81.01,43.17,0.0453,0.0,0.2438,OK
284.0,D,6576.0,146.0,5104.0,2304.0,12.33,0.0,0.0,1.6047,88.0,140.0,138.0,86.0,0.0586,0.0,0.4143,OK
285.0,D,6364.0,146.0,3084.0,1576.0,12.82,0.0,0.0,1.0407,114.0,104.0,108.85,104.59,0.0608,0.0,0.2601,OK
286.0,D,7178.0,142.0,2812.0,1400.0,13.42,0.0,0.0,1.3548,98.0,94.0,103.32,76.26,0.0599,0.0,0.3053,OK
287.0,D,7966.0,130.0,8660.0,6000.0,14.95,0.0,0.0,3.7838,72.0,238.0,236.83,62.59,0.0586,0.0,0.5054,OK
288.0,L,6312.0,114.0,908.0,0.0,0.0,364.0,12.71,2.6167,58.0,24.0,55.32,21.14,0.0,0.051,0.6523,OK
289.0,L,3420.0,114.0,1640.0,0.0,0.0,668.0,13.19,1.5886,80.0,46.0,73.04,45.98,0.0,0.0657,0.4457,OK
290.0,D,12806.0,110.0,1164.0,692.0,13.16,0.0,0.0,1.3696,50.0,60.0,60.6,44.24,0.0459,0.0,0.388,OK
291.0,L,8840.0,108.0,1060.0,80.0,17.18,404.0,13.25,2.7762,90.0,36.0,87.68,31.58,0.0579,0.0405,0.3272,OK
292.0,D,5422.0,108.0,1720.0,420.0,17.63,320.0,16.04,2.0577,88.0,78.0,94.68,46.01,0.0884,0.0688,0.2506,OK
293.0,L,5286.0,100.0,1120.0,0.0,0.0,560.0,12.83,3.2692,96.0,38.0,94.7,28.97,0.0,0.0535,0.307,OK
294.0,L,3116.0,90.0,1044.0,0.0,0.0,512.0,10.78,1.315,58.0,56.0,61.02,46.4,0.0,0.0564,0.3214,OK
